REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
NOROCCIDENTE;ANTIOQUIA Y CHOCO;211;SABANETA AVES MARIA;1/01/2018;2,5;1;;29;;17;3;1;;12;7;12;2;83;1;1;PEQUEÑA;1;0;2018;Trim.1;33,2
NOROCCIDENTE;ANTIOQUIA Y CHOCO;210;YOLOMBO;1/01/2018;2,5;1;1;21;;15;;;5;2;14;7;;65;1;1;PEQUEÑA;0;1;2018;Trim.1;26
NOROCCIDENTE;CARIBE NORTE;308;AMERICANO;1/01/2018;3,5;1;3;46;;34;6;;;27;15;52;;183;2;1;PEQUEÑA;1;1;2018;Trim.1;52,3
NOROCCIDENTE;CARIBE NORTE;681;AVENIDA BOYACA;1/01/2018;2,5;1;;19;;25;2;;;14;5;5;;70;1;1;PEQUEÑA;0;1;2018;Trim.1;28
NOROCCIDENTE;CARIBE NORTE;220;BARRANQUILLA;1/01/2018;10,5;1;5;131;1;65;16;1;3;38;39;39;;338;5;5;MUY GRANDE;1;0;2018;Trim.1;32,2
NOROCCIDENTE;CARIBE NORTE;221;CALLE 72;1/01/2018;6,5;1;3;120;;43;8;;6;29;5;45;1;260;3;3;GRANDE;0;0;2018;Trim.1;40
NOROCCIDENTE;CARIBE NORTE;229;CALLE MURILLO;1/01/2018;2,5;1;;25;;21;4;;1;20;8;45;;124;1;1;PEQUEÑA;0;0;2018;Trim.1;49,6
NOROCCIDENTE;CARIBE NORTE;682;DEL COUNTRY;1/01/2018;4,5;1;;61;;35;5;9;2;18;9;20;1;160;3;1;GRANDE;1;0;2018;Trim.1;35,6
NOROCCIDENTE;CARIBE NORTE;304;MAICAO;1/01/2018;2,5;1;;181;;11;;1;;7;3;71;;274;1;1;PEQUEÑA;0;0;2018;Trim.1;109,6
NOROCCIDENTE;CARIBE NORTE;408;MARINELO;1/01/2018;2,5;1;2;21;1;23;4;;;19;3;21;;94;1;1;MEDIANA;1;1;2018;Trim.1;37,6
NOROCCIDENTE;CARIBE NORTE;301;MERCADO NUEVO - VALLEDUPAR;1/01/2018;2,5;1;;25;;23;2;;;16;;4;;70;1;1;PEQUEÑA;0;0;2018;Trim.1;28
NOROCCIDENTE;CARIBE NORTE;405;RIOHACHA;1/01/2018;5,5;1;3;64;;35;;1;;21;2;21;;147;2;3;GRANDE;0;1;2018;Trim.1;26,7
NOROCCIDENTE;CARIBE NORTE;400;SANTA MARTA;1/01/2018;8,5;1;3;82;1;103;5;;2;53;20;74;1;344;5;3;MUY GRANDE;1;0;2018;Trim.1;40,5
NOROCCIDENTE;CARIBE NORTE;687;SOLEDAD;1/01/2018;3,5;1;;39;1;22;4;;;18;11;41;;136;2;1;MEDIANA;0;0;2018;Trim.1;38,9
NOROCCIDENTE;CARIBE NORTE;300;VALLEDUPAR;1/01/2018;7,5;1;2;77;;81;7;;;60;12;45;;284;4;3;MUY GRANDE;0;0;2018;Trim.1;37,9
NOROCCIDENTE;CARIBE NORTE;227;VIA 40;1/01/2018;2,5;1;;59;1;13;7;1;5;11;6;29;;132;1;1;PEQUEÑA;0;0;2018;Trim.1;52,8
NOROCCIDENTE;CARIBE SUR;234;BASE NAVAL BOLIVAR;1/01/2018;1;0;6;13;;13;2;1;;;;;;35;1;0;DEPENDIENTE;0;0;2018;Trim.1;35
NOROCCIDENTE;CARIBE SUR;230;CARTAGENA;1/01/2018;8,5;1;3;216;2;88;5;2;2;87;20;57;;482;5;3;MUY GRANDE;1;0;2018;Trim.1;56,7
NOROCCIDENTE;CARIBE SUR;305;MAMONAL;1/01/2018;2,5;1;8;22;;13;2;2;;11;2;6;;66;1;1;MEDIANA;1;0;2018;Trim.1;26,4
NOROCCIDENTE;CARIBE SUR;240;MOMPOX;1/01/2018;2,5;1;;12;;11;4;;;10;3;11;;51;1;1;MEDIANA;0;0;2018;Trim.1;20,4
NOROCCIDENTE;CARIBE SUR;310;MONTERIA;1/01/2018;9,5;1;3;100;1;108;10;2;1;73;7;78;;383;6;3;MUY GRANDE;0;0;2018;Trim.1;40,3
NOROCCIDENTE;CARIBE SUR;309;PLAZA BOCAGRANDE;1/01/2018;2;0;6;19;1;11;5;1;;;2;;1;46;1;1;DEPENDIENTE;1;1;2018;Trim.1;23
NOROCCIDENTE;CARIBE SUR;311;PLAZA DE MERCADO MONTERIA;1/01/2018;5,5;1;;41;;42;1;1;;17;6;42;;150;3;2;GRANDE;0;0;2018;Trim.1;27,3
NOROCCIDENTE;CARIBE SUR;305;PLAZUELA;1/01/2018;2,5;1;;63;;28;1;1;1;17;4;15;;130;1;1;MEDIANA;1;0;2018;Trim.1;52
NOROCCIDENTE;CARIBE SUR;640;SAN ANDRES;1/01/2018;4,5;1;;20;2;31;1;;4;11;1;4;1;75;2;2;GRANDE;0;0;2018;Trim.1;16,7
NOROCCIDENTE;CARIBE SUR;306;SAN FELIPE;1/01/2018;2;0;9;68;;22;1;;;;3;;;103;1;1;Pequeña;1;1;2018;Trim.1;51,5
NOROCCIDENTE;CARIBE SUR;650;SINCELEJO;1/01/2018;7,5;1;1;100;;85;;;;39;12;34;;271;4;3;MUY GRANDE;0;0;2018;Trim.1;36,1
NOROCCIDENTE;CARIBE SUR;231;TERMINAL MARITIMO;1/01/2018;6,5;1;20;49;;52;7;2;;25;3;9;;167;4;2;Grande;1;0;2018;Trim.1;25,7
NOROCCIDENTE;CARIBE SUR;315;TIERRA ALTA;1/01/2018;1;0;;18;2;4;;;;;;;;24;0;1;DEPENDIENTE;0;0;2018;Trim.1;24
NOROCCIDENTE;MEDELLIN;278;BELEN;1/01/2018;3,5;1;;29;;34;7;;;21;6;3;;100;2;1;PEQUEÑA;1;0;2018;Trim.1;28,6
