REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Asesores;Gerente;Gorra;Camisa;Corbata;Pantalón;Buso;Medias;Gafas;Cinturón;Blazer;Camiseta;Zapato;Total productos;Asesor 2;Asesor 1;Categoria;Rotación;Horario extendido;Año;Trimestre;Productividad
SURORIENTE;META, BOYACA Y NARIÑO;417;LLANOCENTRO;ene-18;2,5;1;;30;1;26;;;1;10;1;22;;91;1;1;PEQUEÑA;0;0;2018;Trim.1;36,4
SURORIENTE;META, BOYACA Y NARIÑO;690;MOCOA;ene-18;5,5;1;5;41;1;40;3;;;21;5;21;;137;3;2;MEDIANA;1;1;2018;Trim.1;24,9
SURORIENTE;META, BOYACA Y NARIÑO;261;PAIPA;ene-18;2,5;1;6;17;;17;1;2;;6;1;6;;56;1;1;PEQUEÑA;0;0;2018;Trim.1;22,4
SURORIENTE;META, BOYACA Y NARIÑO;420;PASTO;ene-18;7,5;1;1;350;;72;1;1;2;25;27;75;;554;4;3;MUY GRANDE;1;0;2018;Trim.1;73,9
SURORIENTE;CUNDINAMARCA Y SUR;54;SAN JOSE DEL GUAVIARE;ene-18;5,5;1;7;69;;33;9;;3;24;5;30;1;181;3;2;GRANDE;1;0;2018;Trim.1;32,9
SURORIENTE;META, BOYACA Y NARIÑO;445;SIBUNDOY;ene-18;2,5;1;4;63;;24;1;;;21;4;19;;136;1;1;PEQUEÑA;1;0;2018;Trim.1;54,4
SURORIENTE;META, BOYACA Y NARIÑO;270;SOGAMOSO;ene-18;4,5;1;40;67;;43;5;1;2;26;32;36;2;254;2;2;GRANDE;0;0;2018;Trim.1;56,4
SURORIENTE;META, BOYACA Y NARIÑO;250;TUNJA;ene-18;7,5;1;60;114;;81;25;2;;63;36;53;;434;4;3;MUY GRANDE;0;0;2018;Trim.1;57,9
SURORIENTE;META, BOYACA Y NARIÑO;435;TUQUERRES;ene-18;2,5;1;4;20;;21;1;;5;13;10;36;;110;1;1;PEQUEÑA;0;0;2018;Trim.1;44
SURORIENTE;META, BOYACA Y NARIÑO;423;UNICENTRO - PASTO;ene-18;2,5;1;6;146;1;22;2;;;17;11;28;;233;1;1;PEQUEÑA;1;0;2018;Trim.1;93,2
SURORIENTE;META, BOYACA Y NARIÑO;251;VILLA DE LEYVA;ene-18;2,5;1;5;8;2;15;4;;2;7;23;14;;80;1;1;PEQUEÑA;0;1;2018;Trim.1;32
SURORIENTE;META, BOYACA Y NARIÑO;410;VILLAVICENCIO;ene-18;6,5;1;1;589;;76;7;1;;54;14;17;;759;3;3;MUY GRANDE;0;0;2018;Trim.1;116,8
OCCIDENTE;VALLE Y EJE CAFETERO;460;ARMENIA;ene-18;7,5;1;4;85;;75;5;1;;21;24;28;;243;4;3;MUY GRANDE;0;0;2018;Trim.1;32,4
OCCIDENTE;VALLE Y EJE CAFETERO;570;BUENAVENTURA;ene-18;5,5;1;;53;1;41;4;;;23;28;18;;168;3;2;GRANDE;0;0;2018;Trim.1;30,5
OCCIDENTE;VALLE Y EJE CAFETERO;580;BUGA;ene-18;4,5;1;23;60;;53;8;1;;23;23;26;;217;2;2;GRANDE;1;0;2018;Trim.1;48,2
OCCIDENTE;VALLE Y EJE CAFETERO;660;CARTAGO;ene-18;4,5;1;2;267;;56;1;1;;36;34;5;;402;2;2;GRANDE;0;0;2018;Trim.1;89,3
OCCIDENTE;VALLE Y EJE CAFETERO;474;DOS QUEBRADAS;ene-18;3,5;1;14;62;;28;11;1;;14;3;19;;152;2;1;PEQUEÑA;0;1;2018;Trim.1;43,4
