REGIONAL;ZONA;COD_OFICINA;OFICINA;MES;Planta finalta;Planta de Gerente oficial;P.A.P;Cuenta de ahorros ;Cuenta corriente;Libranza ;Tarjeta de crédito ;Crédito hipotecario;Crédito de consumo o comercial ;Banca seguros ;CDT;Cuenta protegida;Libre destino;Total productos;Asesor 2;Asesor 1;Productividad
NOROCCIDENTE;ANTIOQUIA Y CHOCO;380;QUIBDO;1/01/2020;7,24;1;7;41;0;72;22;1;0;44;20;78;0;285;5;3;39,36464088
NOROCCIDENTE;ANTIOQUIA Y CHOCO;185;RIONEGRO;1/01/2020;3,12;1;1;17;0;36;5;1;0;28;7;25;0;120;2;1;38,46153846
NOROCCIDENTE;ANTIOQUIA Y CHOCO;213;RIONEGRO SAN NICOLAS - EXT;1/01/2020;2,12;1;0;18;0;23;0;0;0;19;7;5;0;72;1;1;33,96226415
NOROCCIDENTE;ANTIOQUIA Y CHOCO;211;SABANETA AVES MARIA;1/01/2020;2,12;1;0;33;0;29;5;0;0;19;6;7;0;99;1;1;46,69811321
NOROCCIDENTE;ANTIOQUIA Y CHOCO;210;YOLOMBO;1/01/2020;2,12;1;5;18;1;11;1;1;0;4;12;16;0;69;1;1;32,54716981
NOROCCIDENTE;CARIBE NORTE;308;AMERICANO;1/01/2020;3,12;1;3;46;1;55;12;1;0;40;19;94;1;272;2;1;87,17948718
NOROCCIDENTE;CARIBE NORTE;681;AVENIDA BOYACA;1/01/2020;2,12;1;1;16;0;17;3;2;1;8;7;16;0;71;1;1;33,49056604
NOROCCIDENTE;CARIBE NORTE;220;BARRANQUILLA;1/01/2020;7,8;1;15;110;1;92;27;1;8;65;39;110;0;468;5;4;60
NOROCCIDENTE;CARIBE NORTE;221;CALLE 72;1/01/2020;5,24;1;7;109;2;38;7;0;5;30;8;76;0;282;3;3;53,81679389
NOROCCIDENTE;CARIBE NORTE;229;CALLE MURILLO;1/01/2020;2,12;1;2;28;1;21;7;0;0;17;5;16;0;97;1;1;45,75471698
NOROCCIDENTE;CARIBE NORTE;682;DEL COUNTRY;1/01/2020;4,68;1;15;76;0;57;12;0;3;42;8;59;1;273;3;2;58,33333333
NOROCCIDENTE;CARIBE NORTE;304;MAICAO;1/01/2020;2,12;1;4;23;0;15;3;0;0;8;2;32;0;87;1;1;41,03773585
NOROCCIDENTE;CARIBE NORTE;408;MARINELO;1/01/2020;3,12;1;12;124;0;39;5;0;0;26;6;17;0;229;2;1;73,3974359
NOROCCIDENTE;CARIBE NORTE;301;MERCADO NUEVO - VALLEDUPAR;1/01/2020;2,12;1;4;24;0;31;3;0;0;22;0;6;0;90;1;1;42,45283019
NOROCCIDENTE;CARIBE NORTE;405;RIOHACHA;1/01/2020;4,24;1;1;67;1;31;2;0;0;14;4;14;0;134;2;3;31,60377358
NOROCCIDENTE;CARIBE NORTE;400;SANTA MARTA;1/01/2020;7,24;1;1;133;0;117;9;0;2;62;29;91;0;444;5;3;61,32596685
NOROCCIDENTE;CARIBE NORTE;687;SOLEDAD;1/01/2020;3,12;1;1;69;0;50;8;0;0;45;18;59;0;250;2;1;80,12820513
NOROCCIDENTE;CARIBE NORTE;300;VALLEDUPAR;1/01/2020;6,24;1;4;69;0;54;13;0;0;50;13;60;0;263;4;3;42,1474359
NOROCCIDENTE;CARIBE NORTE;227;VIA 40;1/01/2020;2,12;1;1;34;0;29;7;1;1;14;5;26;0;118;1;1;55,66037736
NOROCCIDENTE;CARIBE SUR;234;BASE NAVAL BOLIVAR;1/01/2020;1;0;2;22;0;10;4;0;0;0;1;0;0;39;1;0;39
NOROCCIDENTE;CARIBE SUR;230;CARTAGENA;1/01/2020;7,8;1;6;254;0;113;18;1;4;73;22;84;0;575;5;4;73,71794872
NOROCCIDENTE;CARIBE SUR;240;MOMPOX;1/01/2020;2,12;1;8;20;0;18;0;0;0;8;9;19;0;82;1;1;38,67924528
NOROCCIDENTE;CARIBE SUR;310;MONTERIA;1/01/2020;8,24;1;4;96;0;87;7;2;0;47;11;60;0;314;6;3;38,10679612
NOROCCIDENTE;CARIBE SUR;309;PLAZA BOCAGRANDE;1/01/2020;2,12;1;2;13;0;25;0;0;0;24;1;7;0;72;1;1;33,96226415
NOROCCIDENTE;CARIBE SUR;311;PLAZA DE MERCADO MONTERIA;1/01/2020;4,68;1;1;25;0;44;4;0;1;24;6;32;0;137;3;2;29,27350427
NOROCCIDENTE;CARIBE SUR;305;PLAZUELA;1/01/2020;4,12;1;1;65;0;48;2;0;0;32;13;12;0;173;3;1;41,99029126
NOROCCIDENTE;CARIBE SUR;640;SAN ANDRES;1/01/2020;3,68;1;4;37;0;17;0;0;1;0;9;0;0;68;2;2;18,47826087
NOROCCIDENTE;CARIBE SUR;306;SAN FELIPE;1/01/2020;2,12;1;10;42;0;14;3;0;0;14;12;15;0;110;1;1;51,88679245
NOROCCIDENTE;CARIBE SUR;650;SINCELEJO;1/01/2020;6,24;1;13;46;0;62;3;0;0;27;25;72;0;248;4;3;39,74358974
NOROCCIDENTE;CARIBE SUR;231;TERMINAL MARITIMO;1/01/2020;4,68;1;12;33;0;36;13;0;0;26;7;9;0;136;3;2;29,05982906
NOROCCIDENTE;CARIBE SUR;315;TIERRA ALTA;1/01/2020;0,56;0;0;25;1;6;0;0;0;0;2;0;0;34;0;1;60,71428571
NOROCCIDENTE;MEDELLIN;278;BELEN;1/01/2020;3,12;1;0;41;0;38;17;1;0;20;15;14;0;146;2;1;46,79487179
NOROCCIDENTE;MEDELLIN;191;CENTRO ADMINIS. LA ALPUJARRA;1/01/2020;3,68;1;0;48;0;26;12;0;0;15;7;24;13;145;2;2;39,40217391
NOROCCIDENTE;MEDELLIN;208;EL POBLADO;1/01/2020;2,12;1;4;24;0;14;10;0;0;16;2;9;1;80;1;1;37,73584906
NOROCCIDENTE;MEDELLIN;187;GUAYABAL;1/01/2020;2,12;1;0;18;0;18;7;0;0;13;7;2;1;66;1;1;31,13207547
NOROCCIDENTE;MEDELLIN;190;GUAYAQUIL;1/01/2020;2,68;1;0;24;1;25;1;3;0;15;12;8;0;89;1;2;33,20895522
NOROCCIDENTE;MEDELLIN;182;LA PLAYA;1/01/2020;3,68;1;3;55;0;51;5;0;0;29;17;47;1;208;2;2;56,52173913
NOROCCIDENTE;MEDELLIN;186;LAURELES;1/01/2020;3,12;1;4;34;0;34;11;1;0;26;10;23;0;143;2;1;45,83333333
NOROCCIDENTE;MEDELLIN;180;MEDELLIN;1/01/2020;7,68;1;0;104;0;157;20;0;4;98;35;105;0;523;6;2;68,09895833
NOROCCIDENTE;MEDELLIN;264;ONE PLAZA;1/01/2020;1,56;0;0;1;0;11;0;0;0;0;2;0;0;14;1;1;8,974358974
NOROCCIDENTE;MEDELLIN;183;PALACE;1/01/2020;3,12;1;1;91;0;50;0;0;0;30;11;7;0;190;2;1;60,8974359
NOROCCIDENTE;MEDELLIN;181;SAN FERNANDO PLAZA;1/01/2020;3,12;1;0;10;2;7;2;0;37;10;4;5;0;77;2;1;24,67948718
NOROCCIDENTE;MEDELLIN;212;SANTA TERESITA;1/01/2020;2,12;1;1;6;0;18;6;3;0;12;4;10;0;60;1;1;28,30188679
SURORIENTE;ORIENTAL;610;ARAUCA;1/01/2020;4,68;1;5;41;0;55;4;1;0;38;9;46;1;200;3;2;42,73504274
SURORIENTE;ORIENTAL;490;BARBOSA;1/01/2020;2,68;1;1;13;0;20;4;1;4;12;8;6;0;69;1;2;25,74626866
SURORIENTE;ORIENTAL;500;BARRANCABERMEJA;1/01/2020;4,68;1;5;61;1;88;7;0;1;59;8;52;0;282;3;2;60,25641026
SURORIENTE;ORIENTAL;480;BUCARAMANGA;1/01/2020;9,8;1;16;151;0;172;26;3;2;124;44;122;0;660;7;4;67,34693878
SURORIENTE;ORIENTAL;484;CABECERA DEL LLANO;1/01/2020;4,68;1;16;110;1;73;10;0;2;33;24;42;0;311;3;2;66,45299145
SURORIENTE;ORIENTAL;450;CUCUTA;1/01/2020;7,24;1;14;109;0;102;11;0;0;61;45;97;0;439;5;3;60,63535912
SURORIENTE;ORIENTAL;494;FLORIDA BLANCA;1/01/2020;3,12;1;2;78;0;59;11;0;0;39;18;24;0;231;2;1;74,03846154
SURORIENTE;ORIENTAL;481;GIRON;1/01/2020;2,68;1;0;54;0;49;7;1;2;30;19;4;0;166;1;2;61,94029851
SURORIENTE;ORIENTAL;700;MALAGA;1/01/2020;3,12;1;3;32;0;41;8;1;1;25;25;29;0;165;2;1;52,88461538
SURORIENTE;ORIENTAL;720;PAMPLONA;1/01/2020;3,68;1;6;23;0;49;16;2;0;23;15;43;0;177;2;2;48,09782609
SURORIENTE;ORIENTAL;491;PUENTE NACIONAL;1/01/2020;2,12;1;10;26;0;14;6;1;0;14;16;20;0;107;1;1;50,47169811
SURORIENTE;ORIENTAL;488;SAN FRANCISCO - ZN ORIENTAL;1/01/2020;2,12;1;17;32;0;26;10;1;0;21;5;25;0;137;1;1;64,62264151
SURORIENTE;ORIENTAL;520;SAN GIL;1/01/2020;4,68;1;5;51;0;60;2;0;1;34;7;16;0;176;3;2;37,60683761
SURORIENTE;ORIENTAL;492;SANTANA;1/01/2020;1,56;0;2;21;0;7;0;0;3;0;12;0;0;45;1;1;28,84615385
SURORIENTE;ORIENTAL;530;SOCORRO;1/01/2020;3,68;1;0;23;0;32;7;2;0;20;4;22;0;110;2;2;29,89130435
SURORIENTE;ORIENTAL;451;TONCHALA;1/01/2020;3,68;1;4;39;0;54;18;0;0;43;12;21;0;191;2;2;51,90217391
SURORIENTE;ORIENTAL;540;VELEZ;1/01/2020;3,12;1;50;62;0;32;1;1;1;18;7;28;0;200;2;1;64,1025641
OCCIDENTE;CALI;605;ALAMEDA;1/01/2020;2,12;1;0;14;0;23;0;0;0;12;6;19;0;74;1;1;34,90566038
OCCIDENTE;CALI;560;CALI;1/01/2020;8,8;1;57;284;0;121;36;1;30;86;47;191;1;854;6;4;97,04545455
OCCIDENTE;CALI;574;CHIPICHAPE;1/01/2020;4,68;1;11;92;2;49;16;0;0;32;15;85;1;303;3;2;64,74358974
OCCIDENTE;CALI;577;CIUDAD JARDIN;1/01/2020;2,12;1;1;38;0;22;4;1;0;15;11;29;0;121;1;1;57,0754717
OCCIDENTE;CALI;582;COSMOCENTRO;1/01/2020;4,68;1;2;58;0;41;9;2;0;22;46;48;0;228;3;2;48,71794872
OCCIDENTE;CALI;564;EL GUABITO;1/01/2020;4,68;1;15;93;0;59;20;0;0;27;29;54;2;299;3;2;63,88888889
OCCIDENTE;CALI;598;EXT. CAJA CALIMA;1/01/2020;3,12;1;0;53;0;39;13;0;0;27;14;43;0;189;2;1;60,57692308
OCCIDENTE;CALI;604;IMBANACO;1/01/2020;2,12;1;2;17;0;34;11;1;0;23;11;39;0;138;1;1;65,09433962
OCCIDENTE;CALI;567;LA MERCED;1/01/2020;2,12;1;0;20;0;33;10;0;0;21;10;27;0;121;1;1;57,0754717
OCCIDENTE;CALI;578;PREMIER El LIMONAR;1/01/2020;3,12;1;7;53;0;59;12;1;0;41;31;18;0;222;2;1;71,15384615
OCCIDENTE;CALI;565;SAN FERNANDO;1/01/2020;3,68;1;0;55;0;36;12;0;0;19;36;43;0;201;2;2;54,61956522
OCCIDENTE;CALI;607;SAN NICOLAS;1/01/2020;2,12;1;0;27;0;25;4;1;1;17;11;24;0;110;1;1;51,88679245
OCCIDENTE;CALI;586;TERCERA BRIGADA;1/01/2020;3,12;1;7;29;0;19;25;0;0;16;8;202;0;306;2;1;98,07692308
OCCIDENTE;CALI;585;UNICENTRO - CALI;1/01/2020;5,68;1;6;47;0;81;13;2;0;54;41;67;1;312;4;2;54,92957746
OCCIDENTE;CALI;576;VILLA COLOMBIA;1/01/2020;2,12;1;3;23;0;35;11;1;0;23;23;31;0;150;1;1;70,75471698
OCCIDENTE;CENTRAL;551;AVENIDA QUINTA;1/01/2020;4,68;1;0;67;0;63;6;0;0;37;26;27;0;226;3;2;48,29059829
OCCIDENTE;CENTRAL;362;EL ESPINAL;1/01/2020;3,68;1;0;24;0;67;8;0;0;39;13;72;0;223;2;2;60,59782609
OCCIDENTE;CENTRAL;624;EL JORDAN;1/01/2020;2,68;1;5;41;0;42;6;1;0;23;26;26;0;170;1;2;63,43283582
OCCIDENTE;CENTRAL;388;GARZON;1/01/2020;2,12;1;1;22;0;29;2;1;0;15;1;27;0;98;1;1;46,22641509
OCCIDENTE;CENTRAL;360;GIRARDOT;1/01/2020;4,12;1;7;66;0;102;5;0;2;64;32;68;0;346;3;1;83,98058252
OCCIDENTE;CENTRAL;391;HONDA;1/01/2020;3,12;1;5;25;0;68;6;0;2;30;31;21;0;188;2;1;60,25641026
OCCIDENTE;CENTRAL;550;IBAGUE;1/01/2020;7,24;1;4;82;0;93;10;0;0;55;46;73;1;364;5;3;50,27624309
OCCIDENTE;CENTRAL;392;LA DORADA;1/01/2020;2,68;1;1;183;0;75;5;1;0;38;4;32;0;339;1;2;126,4925373
OCCIDENTE;CENTRAL;394;MARIQUITA;1/01/2020;3,12;1;1;19;0;38;5;0;0;15;11;15;0;104;2;1;33,33333333
OCCIDENTE;CENTRAL;366;MELGAR;1/01/2020;2,12;1;1;19;0;29;1;0;0;19;7;25;0;101;1;1;47,64150943
OCCIDENTE;CENTRAL;390;NEIVA;1/01/2020;5,68;1;2;54;1;69;16;0;0;36;16;47;0;241;4;2;42,42957746
OCCIDENTE;CENTRAL;425;PITALITO;1/01/2020;4,68;1;6;51;0;34;3;0;0;20;8;21;0;143;3;2;30,55555556
OCCIDENTE;CENTRAL;265;PUERTO BOYACA;1/01/2020;3,12;1;1;10;0;35;6;0;1;18;10;22;0;103;2;1;33,01282051
OCCIDENTE;CENTRAL;389;SAN JUAN PLAZA;1/01/2020;2,12;1;0;50;0;38;8;0;0;24;6;49;0;175;1;1;82,54716981
OCCIDENTE;CENTRAL;364;TOLEMAIDA;1/01/2020;3,68;1;13;27;0;38;12;0;0;25;0;47;0;162;2;2;44,02173913
OCCIDENTE;CENTRAL;554;YULIMA;1/01/2020;5,68;1;1;57;0;77;9;0;0;36;31;63;0;274;4;2;48,23943662
SURORIENTE;CUNDINAMARCA Y SUR;361;AGUA DE DIOS;1/01/2020;2,12;1;1;66;1;31;6;0;0;17;21;22;0;165;1;1;77,83018868
SURORIENTE;CUNDINAMARCA Y SUR;320;CAQUEZA;1/01/2020;2,12;1;1;36;0;11;2;0;4;9;31;4;0;98;1;1;46,22641509
SURORIENTE;CUNDINAMARCA Y SUR;330;CHIPAQUE;1/01/2020;2,12;1;4;61;0;5;1;0;2;3;16;20;1;113;1;1;53,30188679
SURORIENTE;CUNDINAMARCA Y SUR;340;CHOACHI;1/01/2020;2,12;1;0;20;0;8;3;0;2;7;23;15;0;78;1;1;36,79245283
SURORIENTE;META, BOYACA Y NARIÑO;371;COGUA;1/01/2020;2,12;1;1;39;0;15;1;0;0;13;15;16;0;100;1;1;47,16981132
SURORIENTE;CUNDINAMARCA Y SUR;350;FACATATIVA;1/01/2020;4,68;1;1;70;1;60;3;0;0;35;32;32;0;234;3;2;50
SURORIENTE;CUNDINAMARCA Y SUR;620;FLORENCIA;1/01/2020;6,24;1;12;144;0;69;10;0;0;43;19;67;0;364;4;3;58,33333333
SURORIENTE;CUNDINAMARCA Y SUR;341;FOMEQUE;1/01/2020;2,12;1;3;42;0;11;2;0;5;11;13;20;0;107;1;1;50,47169811
SURORIENTE;CUNDINAMARCA Y SUR;353;FUSAGASUGA;1/01/2020;3,12;1;0;59;0;47;10;0;0;30;31;60;0;237;2;1;75,96153846
SURORIENTE;CUNDINAMARCA Y SUR;269;LETICIA;1/01/2020;2,12;1;3;49;0;28;6;0;1;22;2;29;1;141;1;1;66,50943396
SURORIENTE;CUNDINAMARCA Y SUR;345;MADRID;1/01/2020;3,12;1;2;104;0;44;6;1;0;26;26;41;0;250;2;1;80,12820513
SURORIENTE;CUNDINAMARCA Y SUR;257;MONTERREY;1/01/2020;2,12;1;10;45;0;16;9;1;1;9;2;19;0;112;1;1;52,83018868
SURORIENTE;CUNDINAMARCA Y SUR;351;NOVA PLAZA FACATATIVA;1/01/2020;1,56;0;3;47;0;7;4;1;0;0;12;0;0;74;1;1;47,43589744
SURORIENTE;CUNDINAMARCA Y SUR;691;PUERTO LEGUIZAMO;1/01/2020;2,12;1;7;42;0;15;10;0;0;13;4;37;0;128;1;1;60,37735849
SURORIENTE;META, BOYACA Y NARIÑO;355;SANTA LUCIA DE CHIA;1/01/2020;2,12;1;0;38;0;19;9;0;0;3;9;15;0;93;1;1;43,86792453
SURORIENTE;CUNDINAMARCA Y SUR;363;TOCAIMA;1/01/2020;2,12;1;0;24;0;22;3;0;0;10;21;18;0;98;1;1;46,22641509
SURORIENTE;CUNDINAMARCA Y SUR;342;UBAQUE;1/01/2020;0,56;0;1;19;1;5;0;0;4;0;9;0;0;39;0;1;69,64285714
SURORIENTE;CUNDINAMARCA Y SUR;331;UNE;1/01/2020;0,56;0;7;16;0;0;4;0;3;0;9;0;0;39;0;1;69,64285714
SURORIENTE;META, BOYACA Y NARIÑO;23;VILLAPINZON;1/01/2020;2,12;1;2;58;0;11;14;1;6;6;16;16;2;132;1;1;62,26415094
SURORIENTE;CUNDINAMARCA Y SUR;252;YOPAL;1/01/2020;4,68;1;2;62;0;63;3;0;0;35;6;34;1;206;3;2;44,01709402
SURORIENTE;META, BOYACA Y NARIÑO;370;ZIPAQUIRA;1/01/2020;3,68;1;4;60;0;47;9;1;2;22;15;40;1;201;2;2;54,61956522
SURORIENTE;META, BOYACA Y NARIÑO;411;ACACIAS;1/01/2020;3,12;1;2;18;0;30;3;0;0;26;15;32;0;126;2;1;40,38461538
SURORIENTE;META, BOYACA Y NARIÑO;260;DUITAMA;1/01/2020;3,68;1;3;120;0;75;6;0;0;51;30;37;1;323;2;2;87,77173913
SURORIENTE;META, BOYACA Y NARIÑO;413;GRANADA;1/01/2020;2,12;1;3;28;0;17;3;0;0;14;6;13;0;84;1;1;39,62264151
SURORIENTE;META, BOYACA Y NARIÑO;430;IPIALES;1/01/2020;3,68;1;21;56;0;18;8;0;8;17;36;114;0;278;2;2;75,54347826
SURORIENTE;META, BOYACA Y NARIÑO;417;LLANOCENTRO;1/01/2020;2,12;1;1;32;1;14;1;0;1;9;9;2;0;70;1;1;33,01886792
SURORIENTE;META, BOYACA Y NARIÑO;690;MOCOA;1/01/2020;4,68;1;0;43;0;26;7;0;0;19;16;59;0;170;3;2;36,32478632
SURORIENTE;META, BOYACA Y NARIÑO;261;PAIPA;1/01/2020;2,12;1;6;28;0;26;1;0;1;12;14;11;0;99;1;1;46,69811321
SURORIENTE;META, BOYACA Y NARIÑO;420;PASTO;1/01/2020;6,24;1;1;59;0;76;3;2;1;30;41;82;1;296;4;3;47,43589744
SURORIENTE;CUNDINAMARCA Y SUR;54;SAN JOSE DEL GUAVIARE;1/01/2020;4,68;1;8;52;0;17;8;0;2;16;10;67;0;180;3;2;38,46153846
SURORIENTE;META, BOYACA Y NARIÑO;445;SIBUNDOY;1/01/2020;2,12;1;12;71;0;9;8;0;0;7;4;52;0;163;1;1;76,88679245
SURORIENTE;META, BOYACA Y NARIÑO;270;SOGAMOSO;1/01/2020;3,68;1;2;46;0;78;5;1;0;46;53;28;0;259;2;2;70,38043478
SURORIENTE;META, BOYACA Y NARIÑO;250;TUNJA;1/01/2020;6,24;1;26;101;0;83;11;0;0;48;42;44;0;355;4;3;56,89102564
SURORIENTE;META, BOYACA Y NARIÑO;435;TUQUERRES;1/01/2020;2,12;1;6;15;0;17;6;0;1;13;16;34;0;108;1;1;50,94339623
SURORIENTE;META, BOYACA Y NARIÑO;423;UNICENTRO - PASTO;1/01/2020;2,12;1;6;46;0;24;9;3;0;16;16;32;0;152;1;1;71,69811321
SURORIENTE;META, BOYACA Y NARIÑO;251;VILLA DE LEYVA;1/01/2020;2,12;1;2;20;0;24;4;0;0;14;32;14;0;110;1;1;51,88679245
SURORIENTE;META, BOYACA Y NARIÑO;410;VILLAVICENCIO;1/01/2020;5,24;1;5;71;0;64;18;0;0;57;9;59;1;284;3;3;54,19847328
OCCIDENTE;VALLE Y EJE CAFETERO;460;ARMENIA;1/01/2020;7,24;1;4;100;0;121;15;1;0;69;31;104;0;445;5;3;61,4640884
OCCIDENTE;VALLE Y EJE CAFETERO;570;BUENAVENTURA;1/01/2020;4,68;1;1;52;0;29;12;1;0;20;21;38;0;174;3;2;37,17948718
OCCIDENTE;VALLE Y EJE CAFETERO;580;BUGA;1/01/2020;3,68;1;4;59;0;44;8;1;0;21;27;51;0;215;2;2;58,42391304
OCCIDENTE;VALLE Y EJE CAFETERO;285;CABLE PLAZA;1/01/2020;2,12;1;2;37;0;14;3;0;0;12;6;17;1;92;1;1;43,39622642
OCCIDENTE;VALLE Y EJE CAFETERO;660;CARTAGO;1/01/2020;3,68;1;1;41;0;71;3;0;0;40;24;13;0;193;2;2;52,44565217
OCCIDENTE;VALLE Y EJE CAFETERO;474;DOS QUEBRADAS;1/01/2020;3,12;1;4;35;0;41;3;0;0;22;9;16;0;130;2;1;41,66666667
OCCIDENTE;VALLE Y EJE CAFETERO;280;MANIZALES;1/01/2020;6,8;1;1;81;0;85;6;0;0;34;48;16;1;272;4;4;40
OCCIDENTE;VALLE Y EJE CAFETERO;583;NUEVA OFICINA YUMBO;1/01/2020;3,12;1;15;47;0;37;14;0;0;20;23;38;0;194;2;1;62,17948718
OCCIDENTE;VALLE Y EJE CAFETERO;590;PALMIRA;1/01/2020;5,68;1;3;58;0;73;2;0;0;45;31;44;0;256;4;2;45,07042254
OCCIDENTE;VALLE Y EJE CAFETERO;470;PEREIRA;1/01/2020;5,24;1;0;126;0;60;11;1;2;40;21;60;0;321;3;3;61,25954198
OCCIDENTE;VALLE Y EJE CAFETERO;290;POPAYAN;1/01/2020;5,24;1;23;86;1;60;11;0;0;28;22;71;0;302;3;3;57,63358779
OCCIDENTE;VALLE Y EJE CAFETERO;600;TULUA;1/01/2020;7,8;1;2;75;2;157;23;0;1;81;24;102;0;467;5;4;59,87179487
OCCIDENTE;VALLE Y EJE CAFETERO;440;TUMACO;1/01/2020;3,68;1;8;72;1;44;7;0;1;18;14;38;0;203;2;2;55,16304348
OCCIDENTE;VALLE Y EJE CAFETERO;291;UNIVERSIDAD DEL CAUCA;1/01/2020;1;0;0;12;0;9;0;0;0;0;5;0;0;26;1;0;26
OCCIDENTE;VALLE Y EJE CAFETERO;606;VIVA BUENAVENTURA;1/01/2020;2,12;1;0;22;0;11;4;0;0;6;17;21;0;81;1;1;38,20754717
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;324;EL EDÉN;1/01/2020;2,12;1;1;34;0;9;0;0;0;6;3;3;1;57;1;1;26,88679245
BOGOTÁ Y PYME;BOGOTÁ NORTE;326;UNICENTRO CENTRO COMERCIAL;1/01/2020;3,12;1;0;41;0;16;7;0;0;6;7;18;0;95;2;1;30,44871795
BOGOTÁ Y PYME;BOGOTÁ CENTRO;141;AVENIDA SEXTA - BOGOTA;2/02/2020;2,12;1;13;17;1;29;8;0;5;12;15;23;2;125;1;1;58,96226415
BOGOTÁ Y PYME;BOGOTÁ SUR ;130;BARRIO RESTREPO;2/02/2020;3,68;1;4;55;0;75;9;0;1;43;9;51;1;248;2;2;67,39130435
BOGOTÁ Y PYME;BOGOTÁ CENTRO;19;BARRIO RICAURTE;2/02/2020;3,12;1;1;65;0;32;13;0;0;22;5;29;2;169;2;1;54,16666667
BOGOTÁ Y PYME;BOGOTÁ CENTRO;70;CALLE CATORCE;2/02/2020;8,24;1;16;138;0;84;17;1;1;45;26;71;0;399;6;3;48,4223301
BOGOTÁ Y PYME;BOGOTÁ CENTRO;26;LOS MINISTERIOS;2/02/2020;4,12;1;8;48;1;42;8;1;0;22;14;79;1;224;3;1;54,36893204
BOGOTÁ Y PYME;BOGOTÁ CENTRO;40;PRINCIPAL;2/02/2020;6,24;1;13;181;0;81;18;0;3;49;17;81;3;446;4;3;71,47435897
BOGOTÁ Y PYME;BOGOTÁ CENTRO;150;SAN DIEGO;2/02/2020;6,24;1;11;61;0;77;17;3;5;64;12;27;2;279;4;3;44,71153846
BOGOTÁ Y PYME;BOGOTÁ CENTRO;42;SANS FACON;2/02/2020;2,12;1;2;64;0;28;9;0;2;26;5;26;1;163;1;1;76,88679245
BOGOTÁ Y PYME;BOGOTÁ SUR ;129;SOSIEGO;2/02/2020;2,12;1;0;40;0;27;7;1;0;16;3;20;1;115;1;1;54,24528302
BOGOTÁ Y PYME;BOGOTÁ NORTE;11;ANTIGUO COUNTRY;2/02/2020;2,12;1;2;20;0;11;6;2;0;4;0;9;1;55;1;1;25,94339623
BOGOTÁ Y PYME;BOGOTÁ CENTRO;66;AVENIDA CHILE;2/02/2020;3,12;1;6;45;1;20;14;2;13;17;9;24;0;151;2;1;48,3974359
BOGOTÁ Y PYME;BOGOTÁ NORTE;98;CANTON NORTE;2/02/2020;3,24;1;7;214;0;29;19;3;0;13;1;54;0;340;1;3;104,9382716
BOGOTÁ Y PYME;BOGOTÁ NORTE;88;CEDRITOS;2/02/2020;3,12;1;10;57;0;32;22;1;1;21;17;19;1;181;2;1;58,01282051
BOGOTÁ Y PYME;BOGOTÁ NORTE;63;CHICO - PARQUE 93;2/02/2020;2,12;1;5;26;1;12;10;3;151;6;5;13;4;236;1;1;111,3207547
BOGOTÁ Y PYME;BOGOTÁ NORTE;29;LA CASTELLANA;2/02/2020;2,12;1;0;577;2;14;6;1;3;6;6;38;2;655;1;1;308,9622642
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;65;LA FLORESTA;2/02/2020;3,68;1;16;81;0;40;13;1;8;25;19;39;1;243;2;2;66,0326087
BOGOTÁ Y PYME;BOGOTÁ NORTE;44;PLAZA IMPERIAL (SUBA);2/02/2020;3,68;1;1;79;0;56;7;0;0;32;24;26;6;231;2;2;62,77173913
BOGOTÁ Y PYME;BOGOTÁ NORTE;45;SANTA FE;2/02/2020;3,12;1;9;114;0;23;7;0;4;17;9;40;2;225;2;1;72,11538462
BOGOTÁ Y PYME;BOGOTÁ NORTE;170;SIETE DE AGOSTO;2/02/2020;2,12;1;0;35;0;19;5;0;0;9;5;21;1;95;1;1;44,81132075
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;87;TITAN PLAZA;2/02/2020;3,12;1;11;164;0;76;9;4;8;31;25;30;0;358;2;1;114,7435897
BOGOTÁ Y PYME;BOGOTÁ NORTE;41;TOBERIN;2/02/2020;2,12;1;6;33;1;18;5;1;2;14;6;16;0;102;1;1;48,11320755
BOGOTÁ Y PYME;BOGOTÁ NORTE;39;UNICENTRO;2/02/2020;3,68;1;3;57;0;35;11;1;0;19;4;29;1;160;2;2;43,47826087
BOGOTÁ Y PYME;BOGOTÁ NORTE;22;USAQUEN;2/02/2020;3,12;1;6;36;0;35;14;4;2;22;11;32;2;164;2;1;52,56410256
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;49;ARRECIFES ;2/02/2020;3,12;1;4;64;0;29;8;4;0;21;8;31;0;169;2;1;54,16666667
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;80;CAN;2/02/2020;7,24;1;21;75;0;65;13;6;4;29;11;74;0;298;5;3;41,16022099
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;12;CIUDAD UNIVERSITARIA;2/02/2020;2,12;1;1;21;0;29;2;0;1;11;5;28;2;100;1;1;47,16981132
BOGOTÁ Y PYME;BOGOTÁ OCCIDENTE;14;EL DORADO;2/02/2020;3,12;1;0;34;0;22;7;1;3;13;5;29;1;115;2;1;36,85897436
